time,site,precip,rh,solrad,temp
1969-12-01,3103,0.0,0.4184957671584647,0.0,2.8
1970-01-01,3103,0.0,0.2325573540032354,0.0,1.7
1970-02-01,3103,0.0,0.19190261969657565,0.0,4.4
1970-03-01,3103,0.0,0.502994604883213,0.0,5.6
1970-04-01,3103,0.0,0.5824603881967615,0.0,-0.6
1970-05-01,3103,0.0,0.3287110165289345,0.0,5.0
1970-06-01,3103,0.0,0.10692096632636663,0.0,20.6
1970-07-01,3103,0.0,0.10718614116495573,0.0,26.1
1970-08-01,3103,0.0,0.33005531014055683,0.0,26.7
1970-09-01,3103,0.0,0.407736615062178,0.0,23.9
1970-10-01,3103,0.0,0.6193390161910499,0.0,16.1
1970-11-01,3103,0.0,0.13493049808234012,0.0,15.6
1970-12-01,3103,0.0,0.7533139649906176,0.0,2.2
1971-01-01,3103,0.0,0.32108849040664705,0.0,7.8
1971-02-01,3103,0.0,0.23442587672922305,0.0,15.0
1971-03-01,3103,0.0,0.2688102492585522,0.0,-2.8
1971-04-01,3103,0.0,0.15853317223229285,0.0,11.1
1971-05-01,3103,0.0,0.17176921120979144,0.0,17.2
1971-06-01,3103,0.0,0.3116557999852334,0.0,13.3
1971-07-01,3103,0.0,0.11655217430541635,0.0,26.1
1971-08-01,3103,0.0,0.44333964349190336,0.0,24.4
1971-09-01,3103,0.0,0.4556856780641647,0.0,23.3
1971-10-01,3103,0.0,0.7695687750069516,0.0,9.4
1971-11-01,3103,0.0,0.27464620302527,0.0,4.4
1971-12-01,3103,0.0,0.7752040121689842,0.0,-2.2
1972-01-01,3103,0.0,0.5715557908569258,0.0,-3.3
1972-02-01,3103,0.0,0.16158669203275774,0.0,2.2
1972-03-01,3103,0.0,0.21945618561294086,0.0,8.9
1972-04-01,3103,0.0,0.15487823679189125,0.0,9.4
1972-05-01,3103,0.0,0.12165126730117153,0.0,17.2
1972-06-01,3103,0.0,0.4147425982353235,0.0,20.0
1972-07-01,3103,0.0,0.10785483004555547,0.0,28.9
1972-08-01,3103,0.0,0.2109581893226432,0.0,27.8
1972-09-01,3103,0.0,0.4700035958910805,0.0,22.8
1972-10-01,3103,0.0,0.10154073366079933,0.0,25.6
1972-11-01,3103,0.0,0.4851037440714397,0.0,-2.8
1972-12-01,3103,0.0,0.2098882672956864,0.0,5.0
1973-01-01,3103,,,0.0,
1973-02-01,3103,,,0.0,
1973-03-01,3103,,,0.0,
1973-04-01,3103,,,0.0,
1973-05-01,3103,,,0.0,
1973-06-01,3103,,,0.0,
1973-07-01,3103,,,0.0,
1973-08-01,3103,,,0.0,
1973-09-01,3103,,,0.0,
1973-10-01,3103,,,0.0,
1973-11-01,3103,,,0.0,
1973-12-01,3103,,,0.0,
1974-01-01,3103,,,0.0,
1974-02-01,3103,,,0.0,
1974-03-01,3103,,,0.0,
1974-04-01,3103,,,0.0,
1974-05-01,3103,,,0.0,
1974-06-01,3103,,,0.0,
1974-07-01,3103,,,0.0,
1974-08-01,3103,,,0.0,
1974-09-01,3103,,,0.0,
1974-10-01,3103,,,0.0,
1974-11-01,3103,,,0.0,
1974-12-01,3103,,,0.0,
1975-01-01,3103,0.0,0.6784770149805912,0.0,-6.1
1975-02-01,3103,0.0,0.7752040121689842,0.0,-2.2
1975-03-01,3103,0.0,0.2523848666158273,0.0,13.3
1975-04-01,3103,0.0,0.2756183694224408,0.0,5.6
1975-05-01,3103,0.0,0.1315874140425876,0.0,13.9
1975-06-01,3103,0.0,0.1352850173193115,0.0,24.4
1975-07-01,3103,0.0,0.0938952399599038,0.0,28.3
1975-08-01,3103,0.0,0.3034278440903983,0.0,25.6
1975-09-01,3103,0.0,0.2525533546510861,0.0,26.1
1975-10-01,3103,0.0,0.1676346334487364,0.0,18.9
1975-11-01,3103,0.0,0.6995806526211699,0.0,5.0
1975-12-01,3103,0.0,0.5047946373421015,0.0,-2.8
1976-01-01,3103,0.0,0.4062068163947867,0.0,-8.9
1976-02-01,3103,0.0,0.21945618561294086,0.0,8.9
1976-03-01,3103,0.0,0.3269548560563336,0.0,10.0
1976-04-01,3103,0.0,0.15312309835819676,0.0,15.0
1976-05-01,3103,0.0,0.16526092894573746,0.0,17.2
1976-06-01,3103,0.0,0.18031475730045884,0.0,21.1
1976-07-01,3103,0.0,0.32090932425081403,0.0,22.2
1976-08-01,3103,0.0,0.3374853583771045,0.0,23.3
1976-09-01,3103,0.0,0.17432324284828216,0.0,25.0
1976-10-01,3103,0.0,0.307650910571096,0.0,22.2
1976-11-01,3103,0.0,0.18810044777271365,0.0,13.9
1976-12-01,3103,0.0,0.290367611892386,0.0,6.1
1977-01-01,3103,,,0.0,
1977-02-01,3103,0.0,0.23014251793519924,0.0,8.9
