time,site,rh
1975-05-01,03103,0.1315874140425876
1975-06-01,03103,0.1352850173193115
1975-07-01,03103,0.0938952399599038
1975-08-01,03103,0.3034278440903983
1975-09-01,03103,0.2525533546510861
1975-10-01,03103,0.1676346334487364
1975-11-01,03103,0.6995806526211699
1975-12-01,03103,0.5047946373421015
1976-01-01,03103,0.4062068163947867
1976-02-01,03103,0.21945618561294086
1976-03-01,03103,0.3269548560563336
1976-04-01,03103,0.15312309835819676
1976-05-01,03103,0.16526092894573746
1976-06-01,03103,0.18031475730045884
1976-07-01,03103,0.32090932425081403
1976-08-01,03103,0.3374853583771045
1976-09-01,03103,0.17432324284828216
1976-10-01,03103,0.307650910571096
1976-11-01,03103,0.18810044777271365
1976-12-01,03103,0.290367611892386
1977-01-01,03103,
1977-02-01,03103,0.23014251793519924
1977-03-01,03103,0.2690423915062781
1977-04-01,03103,0.2553065292752837
1977-05-01,03103,0.1741736947403174
1977-06-01,03103,0.10785483004555547
1977-07-01,03103,0.1827026215304131
1977-08-01,03103,0.11347715159818668
1977-09-01,03103,0.3147285148919189
1977-10-01,03103,0.26873216420456536
1977-11-01,03103,0.40790916911927977
1977-12-01,03103,0.19578322781392912
1978-01-01,03103,0.9245466985863374
1978-02-01,03103,0.9245466985863374
1978-03-01,03103,1.0
1978-04-01,03103,0.7406099744253616
1978-05-01,03103,0.360892017504024
1978-06-01,03103,0.1383345724656451
1978-07-01,03103,0.11220711588342452
1978-08-01,03103,0.4348906820041961
1978-09-01,03103,0.19979280137762787
1978-10-01,03103,0.1864818404158255
1978-11-01,03103,0.5393887683170876
1978-12-01,03103,0.5299839611354841
1979-01-01,03103,0.3615638630599266
1979-02-01,03103,0.8778790467149233
1979-03-01,03103,0.5914711955373877
1979-04-01,03103,0.3900335280141489
1979-05-01,03103,0.20068198918249192
1979-06-01,03103,0.3455250941343197
1979-07-01,03103,0.3993483731578735
1979-08-01,03103,0.1582080658595746
1979-09-01,03103,0.1934353364135485
1979-10-01,03103,0.21629032127779999
1979-11-01,03103,0.2919596386624925
1979-12-01,03103,0.18922310791359875
1980-01-01,03103,0.8487217494183256
1980-02-01,03103,0.6420817728393909
1980-03-01,03103,0.2356193332211069
1980-04-01,03103,0.4054914595568954
1980-05-01,03103,0.8199809900340267
1980-06-01,03103,0.16291582201859894
1980-07-01,03103,0.5414688922808593
1980-08-01,03103,0.5111028161366445
1980-09-01,03103,0.2445828437636793
1980-10-01,03103,0.1151775534012762
1980-11-01,03103,0.21316841796622527
1980-12-01,03103,0.2224357717224828
1981-01-01,03103,
1981-02-01,03103,
1981-03-01,03103,
1981-04-01,03103,
1981-05-01,03103,
1981-06-01,03103,
1981-07-01,03103,
1981-08-01,03103,
1981-09-01,03103,
1981-10-01,03103,
1981-11-01,03103,
1981-12-01,03103,
1982-01-01,03103,0.8548336244582387
1982-02-01,03103,0.3551968954598919
1982-03-01,03103,0.37748877202646974
1982-04-01,03103,0.4034216347799066
1982-05-01,03103,0.4033902417682225
1982-06-01,03103,0.14588419213239456
1982-07-01,03103,0.20976152570795656
1982-08-01,03103,0.2754338736842861
1982-09-01,03103,0.30678233219016826
1982-10-01,03103,0.28357871024093834
1982-11-01,03103,0.7862462362668309
1982-12-01,03103,1.0
1983-01-01,03103,0.6241894898090835
1983-02-01,03103,0.6099766994629625
1983-03-01,03103,0.9653153881417058
1983-04-01,03103,0.21032964311069136
1983-05-01,03103,0.505261908274122
1983-06-01,03103,0.25918935976228885
1983-07-01,03103,0.12628392953742595
1983-08-01,03103,0.38115222805141663
1983-09-01,03103,0.5829885350693313
1983-10-01,03103,0.7103751039386247
1983-11-01,03103,0.6057634376228245
1983-12-01,03103,0.426062118967189
1984-01-01,03103,
1984-02-01,03103,
1984-03-01,03103,
1984-04-01,03103,
1984-05-01,03103,
1984-06-01,03103,
1984-07-01,03103,
1984-08-01,03103,
1984-09-01,03103,
1984-10-01,03103,
1984-11-01,03103,
1984-12-01,03103,
1985-01-01,03103,0.5889550659631425
1985-02-01,03103,0.4586997094905771
1985-03-01,03103,0.4928681366044017
1985-04-01,03103,0.30357454518499555
1985-05-01,03103,0.2111600246544572
1985-06-01,03103,0.24953393631941484
1985-07-01,03103,0.14381088956006302
1985-08-01,03103,0.3252308311190051
1985-09-01,03103,0.4459625778006549
1985-10-01,03103,0.4617255202516997
1985-11-01,03103,0.6269596849068237
1985-12-01,03103,0.9224530188451099
1986-01-01,03103,0.7235864871748475
1986-02-01,03103,0.5812610763254781
1986-03-01,03103,0.1774392578757405
1986-04-01,03103,0.5822847673268098
1986-05-01,03103,0.2863941806055381
1986-06-01,03103,0.368372500554966
1986-07-01,03103,0.4743908523618332
1986-08-01,03103,0.1652198729784233
1986-09-01,03103,0.5011720914007027
1986-10-01,03103,0.4165259799156532
1986-11-01,03103,0.5578933106125099
1986-12-01,03103,0.3236853041994341
1987-01-01,03103,0.2370042761603787
1987-02-01,03103,0.8911543004330474
1987-03-01,03103,0.5175236638888034
1987-04-01,03103,0.2425825601749503
1987-05-01,03103,0.5234415411863103
1987-06-01,03103,0.2344979375064154
1987-07-01,03103,0.1572263156115258
1987-08-01,03103,0.5638075191676302
1987-09-01,03103,0.2495825538970787
1987-10-01,03103,0.2508289803286481
1987-11-01,03103,0.9662549984815404
1987-12-01,03103,0.4447705667407182
1988-01-01,03103,0.4001102072966699
1988-02-01,03103,0.4413708972229128
1988-03-01,03103,0.3269548560563336
1988-04-01,03103,0.8492366507000629
1988-05-01,03103,0.3137748374518631
1988-06-01,03103,0.23891282339330835
1988-07-01,03103,0.34655482817050337
1988-08-01,03103,0.8946322479060244
1988-09-01,03103,0.6228518780837223
1988-10-01,03103,0.21489082939645202
1988-11-01,03103,0.2283541183708715
1988-12-01,03103,0.353559782937516
1989-01-01,03103,0.3197393688791803
1989-02-01,03103,0.32402607285536617
1989-03-01,03103,0.1816270594163253
1989-04-01,03103,0.1956638694733201
1989-05-01,03103,0.2020773854909225
1989-06-01,03103,0.18612459258611214
1989-07-01,03103,0.1213772358437325
1989-08-01,03103,0.4406053873872266
1989-09-01,03103,0.22161055965147133
1989-10-01,03103,0.154977368324654
1989-11-01,03103,0.13044637995363315
1989-12-01,03103,0.4338654700033343
1990-01-01,03103,0.4952992127231471
1990-02-01,03103,0.6091273026671659
1990-03-01,03103,0.45295304289997496
1990-04-01,03103,0.6190006072135593
1990-05-01,03103,0.2236289117342684
1990-06-01,03103,0.2589936327889725
1990-07-01,03103,0.17347256425907365
1990-08-01,03103,0.2316094796596172
1990-09-01,03103,0.4965508209014472
1990-10-01,03103,0.4889403070820486
1990-11-01,03103,0.3080322644511178
1990-12-01,03103,0.3752552783215393
1961-01-01,03812,0.8919731115946581
1961-02-01,03812,0.5364865021456077
1961-03-01,03812,0.6111168184070576
1961-04-01,03812,0.927409768096876
1961-05-01,03812,0.4931375886860351
1961-06-01,03812,0.5673522104277184
1961-07-01,03812,0.8968811052903717
1961-08-01,03812,0.6176165611084188
1961-09-01,03812,0.7604603123784923
1961-10-01,03812,0.8006715624456147
1961-11-01,03812,0.6273350098901329
1961-12-01,03812,0.3627917059987159
1962-01-01,03812,0.5616174111866129
1962-02-01,03812,0.5833652338910921
1962-03-01,03812,1.0
1962-04-01,03812,1.0
1962-05-01,03812,0.5900994139202066
1962-06-01,03812,0.8364573895572344
1962-07-01,03812,0.6136583219189994
1962-08-01,03812,0.6372657053464545
1962-09-01,03812,0.5913755992868873
1962-10-01,03812,0.7141369458805336
1962-11-01,03812,0.5708289911106837
1962-12-01,03812,0.2593640209473883
1963-01-01,03812,
1963-02-01,03812,
1963-03-01,03812,
1963-04-01,03812,
1963-05-01,03812,
1963-06-01,03812,
1963-07-01,03812,
1963-08-01,03812,
1963-09-01,03812,
1963-10-01,03812,
1963-11-01,03812,
1963-12-01,03812,
1964-01-01,03812,0.921569164365848
1964-02-01,03812,0.964768045744487
1964-03-01,03812,0.4397714276869994
1964-04-01,03812,0.3657548173728257
1964-05-01,03812,0.35824659784977714
1964-06-01,03812,0.562428928410437
1964-07-01,03812,0.4391391452314038
1964-08-01,03812,0.7589011996119697
1964-09-01,03812,0.7038874093189926
1964-10-01,03812,0.9321370822960658
1964-11-01,03812,0.8914477257799892
1964-12-01,03812,0.6192614087170732
1965-01-01,03812,
1965-02-01,03812,
1965-03-01,03812,
1965-04-01,03812,
1965-05-01,03812,
1965-06-01,03812,
1965-07-01,03812,
1965-08-01,03812,
1965-09-01,03812,
1965-10-01,03812,
1965-11-01,03812,
1965-12-01,03812,
1966-01-01,03812,
1966-02-01,03812,
1966-03-01,03812,
1966-04-01,03812,
1966-05-01,03812,
1966-06-01,03812,
1966-07-01,03812,
1966-08-01,03812,
1966-09-01,03812,
1966-10-01,03812,
1966-11-01,03812,
1966-12-01,03812,
1967-01-01,03812,1.0
1967-02-01,03812,0.6534557756439331
1967-03-01,03812,0.6634859214106585
1967-04-01,03812,0.4505191360831586
1967-05-01,03812,0.4474704958526693
1967-06-01,03812,1.0
1967-07-01,03812,0.6610971523983906
1967-08-01,03812,0.7296268814625295
1967-09-01,03812,0.8111931431460053
1967-10-01,03812,0.7379080250050465
1967-11-01,03812,0.8914477257799892
1967-12-01,03812,0.7264637822566418
1968-01-01,03812,1.0
1968-02-01,03812,0.8307946198161543
1968-03-01,03812,0.6794704159163442
1968-04-01,03812,0.9245408888997464
1968-05-01,03812,0.3274937977173383
1968-06-01,03812,0.5392154939146309
1968-07-01,03812,0.5415554409619173
1968-08-01,03812,0.8112524465920664
1968-09-01,03812,0.9680238038551032
1968-10-01,03812,0.6988909117722839
1968-11-01,03812,0.6641959028701548
1968-12-01,03812,0.7862462362668309
1969-01-01,03812,0.9259987112138228
1969-02-01,03812,0.8361487690410107
1969-03-01,03812,1.0
1969-04-01,03812,0.3405410507042095
1969-05-01,03812,0.35824659784977714
1969-06-01,03812,0.657994019787408
1969-07-01,03812,0.7573831089630804
1969-08-01,03812,0.7549512797951078
1969-09-01,03812,1.0
1969-10-01,03812,0.8318579831112242
1969-11-01,03812,1.0
1969-12-01,03812,0.3824141965766798
1970-01-01,03812,0.8838455385137965
1970-02-01,03812,0.3706289399564911
1970-03-01,03812,0.3205773004326388
1970-04-01,03812,0.5275048823682406
1970-05-01,03812,0.6817133482901306
1970-06-01,03812,0.8364573895572344
1970-07-01,03812,0.5983041559821622
1970-08-01,03812,0.7855905966795803
1970-09-01,03812,0.6394033199454208
1970-10-01,03812,0.5327014988807541
1970-11-01,03812,1.0
1970-12-01,03812,0.8300307890753449
1971-01-01,03812,0.9571891250705766
1971-02-01,03812,0.5424438341638693
1971-03-01,03812,0.3598038607792019
1971-04-01,03812,0.3524752252888001
1971-05-01,03812,0.6147290814693538
1971-06-01,03812,0.3914695923175033
1971-07-01,03812,0.7604603123784923
1971-08-01,03812,0.9269987238365892
1971-09-01,03812,0.7827463313285342
1971-10-01,03812,0.7589011996119697
1971-11-01,03812,1.0
1971-12-01,03812,0.7525312365952075
1972-01-01,03812,0.6766546544578611
1972-02-01,03812,0.415515821204392
1972-03-01,03812,0.5550140872986468
1972-04-01,03812,0.9653153881417058
1972-05-01,03812,0.6238769715404748
1972-06-01,03812,0.6632381821171698
1972-07-01,03812,0.5900994139202066
1972-08-01,03812,0.8375787879444091
1972-09-01,03812,0.7286835343111048
1972-10-01,03812,0.8590217661196571
1972-11-01,03812,0.8625885363395113
1972-12-01,03812,0.9650433139145717
1973-01-01,03812,0.9300679746392324
1973-02-01,03812,0.4986802172700503
1973-03-01,03812,0.6490307139922269
1973-04-01,03812,1.0
1973-05-01,03812,0.4810240503727978
1973-06-01,03812,0.5199560648808422
1973-07-01,03812,0.7533594239430721
1973-08-01,03812,0.7855905966795803
1973-09-01,03812,0.709227392574017
1973-10-01,03812,0.9627330048814948
1973-11-01,03812,1.0
1973-12-01,03812,0.4391874996631333
1974-01-01,03812,
1974-02-01,03812,
1974-03-01,03812,
1974-04-01,03812,
1974-05-01,03812,
1974-06-01,03812,
1974-07-01,03812,
1974-08-01,03812,
1974-09-01,03812,
1974-10-01,03812,
1974-11-01,03812,
1974-12-01,03812,
1975-01-01,03812,1.0
1975-02-01,03812,0.7198189375402705
1975-03-01,03812,0.4034216347799066
1975-04-01,03812,0.4558080973024251
1975-05-01,03812,0.9680238038551032
1975-06-01,03812,0.9269987238365892
1975-07-01,03812,0.709227392574017
1975-08-01,03812,0.7549512797951078
1975-09-01,03812,0.8381857747191015
1975-10-01,03812,0.8608742417522658
1975-11-01,03812,0.6213643726071121
1975-12-01,03812,0.9671571525632934
1976-01-01,03812,0.9662549984815404
1976-02-01,03812,0.6696309927987606
1976-03-01,03812,0.4743464567023815
1976-04-01,03812,0.8918804292077664
1976-05-01,03812,0.8031795235637311
1976-06-01,03812,0.7020303948039193
1976-07-01,03812,0.7286835343111048
1976-08-01,03812,0.6131625712893161
1976-09-01,03812,0.6055557793420542
1976-10-01,03812,0.8276233313225645
1976-11-01,03812,0.7307295855421707
1976-12-01,03812,0.5705349187377179
1977-01-01,03812,0.73508347596175
1977-02-01,03812,0.4548004901952831
1977-03-01,03812,0.32409955274213537
1977-04-01,03812,0.3667180882901889
1977-05-01,03812,0.80391683362353
1977-06-01,03812,0.8067174857631183
1977-07-01,03812,0.872934021152753
1977-08-01,03812,0.7067261373758104
1977-09-01,03812,0.7841751305576532
